ano,id_uf,id_municipio,nome_municipio,idhm,idhm_educacao,idhm_renda,idhm_longevidade,taxa_analfabetismo_11a14,taxa_analfabetismo_15a17,taxa_analfabetismo_15mais,taxa_frequencia_6a14,taxa_frequencia_4a5,taxa_frequencia_0a3,expectativa_anos_estudo,taxa_fundamental_incompleto,renda_per_capita,indice_gini,percentual_pobres,percentual_extremamente_pobres,percentual_vulneraveis_pobreza,percentual_domicilios_agua,percentual_domicilios_energia,taxa_densidade_domiciliar
2010,25,2503803,Caldas Brandão,0.568,0.451,0.562,0.723,10.65,8.29,35.88,96.41,94.04,13.31,8.87,49.68,264.06,0.47,67.69,33.13,16.85,78.92,98.3,29.92
2010,25,2503902,Camalaú,0.567,0.431,0.549,0.77,3.66,2.72,29.73,96.87,90.03,27.77,8.0,53.15,242.92,0.46,68.25,39.77,22.0,57.78,99.52,20.44
2010,25,2504009,Campina Grande,0.72,0.654,0.702,0.812,3.45,2.38,11.68,97.59,93.26,28.48,9.69,22.86,630.03,0.58,40.74,16.34,5.02,97.87,99.86,25.54
2010,25,2504033,Capim,0.533,0.4,0.52,0.728,13.17,9.16,39.85,95.65,84.07,12.02,8.32,57.77,203.67,0.48,77.37,45.4,22.54,89.87,99.44,39.34
2010,25,2504074,Caraúbas,0.585,0.485,0.58,0.71,4.03,2.59,19.09,98.35,87.62,20.93,8.73,52.24,296.38,0.45,59.73,32.0,14.94,65.74,99.27,25.66
2010,25,2504108,Carrapateira,0.603,0.543,0.529,0.765,4.4,3.23,28.08,98.33,93.47,16.15,9.14,33.1,214.54,0.47,71.8,43.95,25.46,71.53,99.81,50.85
2010,25,2504157,Casserengue,0.514,0.379,0.492,0.73,6.26,8.19,41.06,98.15,77.48,5.69,8.79,61.36,171.37,0.57,78.02,60.98,43.17,48.9,97.47,29.3
2010,25,2504207,Catingueira,0.574,0.455,0.553,0.753,5.98,7.51,35.77,97.05,81.72,5.48,9.15,50.28,249.16,0.52,67.06,44.24,24.58,74.29,99.61,31.36
2010,25,2504306,Catolé Do Rocha,0.64,0.539,0.617,0.787,3.62,3.26,23.14,97.96,81.62,10.18,9.38,38.21,371.92,0.5,52.61,25.92,10.51,85.15,99.74,28.93
2010,25,2504355,Caturité,0.623,0.502,0.617,0.782,2.12,2.96,22.44,99.52,88.16,16.71,9.39,37.78,371.05,0.56,58.66,32.76,11.48,44.85,99.52,28.76
2010,25,2504405,Conceição,0.592,0.476,0.577,0.754,12.84,6.65,32.72,95.67,65.8,11.25,8.4,43.34,290.63,0.56,65.99,41.03,23.33,78.05,98.58,30.93
2010,25,2504504,Condado,0.594,0.476,0.573,0.769,8.92,3.97,29.61,97.08,90.85,12.59,9.08,48.85,282.25,0.48,61.53,36.04,19.21,81.54,97.6,29.62
2010,25,2504603,Conde,0.618,0.5,0.591,0.797,6.33,4.5,23.19,95.6,80.24,17.92,8.69,42.42,316.81,0.52,62.34,33.02,13.75,66.65,98.98,38.62
2010,25,2504702,Congo,0.581,0.477,0.562,0.731,6.16,5.32,28.54,98.53,90.26,30.67,7.97,45.63,263.84,0.49,64.74,39.52,18.58,69.15,99.79,19.88
2010,25,2504801,Coremas,0.592,0.452,0.578,0.794,8.72,5.41,33.41,94.64,79.16,13.79,8.94,50.21,291.3,0.51,63.49,39.64,18.25,85.04,99.82,28.95
2010,25,2504850,Coxixola,0.641,0.567,0.586,0.794,0.0,0.96,21.21,98.04,93.24,0.0,9.41,38.77,306.15,0.48,57.61,33.86,14.52,93.2,99.87,13.11
2010,25,2504900,Cruz Do Espírito Santo,0.552,0.408,0.531,0.778,8.99,6.15,33.05,96.14,76.29,10.4,8.03,51.82,217.47,0.43,72.41,41.99,15.63,73.17,98.16,38.61
2010,25,2505006,Cubati,0.566,0.448,0.545,0.742,5.9,5.62,27.75,98.29,83.46,9.89,9.5,51.04,237.71,0.48,68.64,43.48,21.07,70.7,99.47,26.5
2010,25,2505105,Cuité,0.591,0.47,0.574,0.766,5.32,5.45,31.72,98.27,81.65,23.66,9.15,46.4,284.57,0.51,62.36,39.34,19.63,67.23,99.33,29.92
2010,25,2505204,Cuitegi,0.57,0.45,0.563,0.732,7.31,6.1,34.36,96.49,88.51,15.37,8.14,51.32,265.78,0.49,66.91,39.28,15.61,90.57,97.71,36.7
2010,25,2505238,Cuité De Mamanguape,0.524,0.398,0.529,0.683,15.3,10.08,41.21,98.38,82.64,8.8,7.52,56.33,214.92,0.48,74.27,45.65,21.65,64.26,97.47,33.97
2010,25,2505279,Curral De Cima,0.529,0.392,0.528,0.715,9.96,6.03,40.5,97.37,78.69,8.5,8.23,59.81,214.4,0.52,72.77,50.03,29.47,34.4,95.83,37.38
2010,25,2505303,Curral Velho,0.606,0.491,0.613,0.739,13.3,6.59,34.92,99.15,95.01,39.48,9.05,49.2,362.28,0.59,63.04,37.35,21.36,77.31,98.53,27.32
2010,25,2505352,Damião,0.521,0.391,0.503,0.72,9.54,4.64,39.66,97.4,81.82,7.65,9.35,60.12,182.89,0.49,77.23,55.88,32.36,29.65,97.79,34.42
2010,25,2505402,Desterro,0.58,0.49,0.551,0.724,3.56,2.62,25.49,97.54,88.43,26.58,8.96,45.36,247.16,0.54,70.34,45.85,26.33,63.11,99.16,30.35
2010,25,2505501,Vista Serrana,0.566,0.424,0.554,0.773,6.12,6.81,25.55,92.82,81.2,0.0,8.88,49.06,251.49,0.47,65.79,36.01,20.55,56.66,99.6,36.97
2010,25,2505600,Diamante,0.593,0.496,0.562,0.748,9.28,9.23,30.3,95.4,90.39,19.45,8.74,41.71,264.08,0.55,69.4,44.37,24.7,73.24,98.25,37.43
2010,25,2505709,Dona Inês,0.545,0.447,0.524,0.69,3.32,3.76,39.32,98.03,51.21,7.22,9.53,49.45,208.12,0.54,72.85,54.57,36.05,45.3,98.52,30.57
2010,25,2505808,Duas Estradas,0.603,0.488,0.565,0.795,4.94,5.63,30.58,97.04,89.73,12.29,8.76,43.75,269.85,0.51,65.28,41.23,22.16,77.28,98.59,32.7
2010,25,2505907,Emas,0.595,0.492,0.554,0.773,6.25,5.29,30.43,99.55,69.01,16.08,10.44,36.81,251.41,0.46,70.87,40.16,13.47,78.75,99.85,38.94
2010,25,2506004,Esperança,0.623,0.526,0.598,0.767,4.28,4.07,26.04,97.33,85.52,10.73,9.52,46.1,330.66,0.54,60.47,35.6,16.73,70.98,99.84,26.41
2010,25,2506103,Fagundes,0.56,0.432,0.543,0.749,6.47,5.37,32.24,97.63,90.46,17.08,8.69,56.83,235.02,0.52,70.12,45.51,26.26,55.88,98.96,35.04
2010,25,2506202,Frei Martinho,0.641,0.542,0.631,0.77,2.04,1.52,29.96,100.0,96.44,14.42,10.01,41.24,405.38,0.57,50.36,29.34,14.24,80.94,99.43,14.87
2010,25,2506251,Gado Bravo,0.513,0.373,0.491,0.737,8.15,6.55,32.83,96.86,93.28,9.25,8.36,55.29,170.29,0.56,79.49,58.49,37.6,18.84,98.87,43.4
2010,25,2506301,Guarabira,0.673,0.586,0.641,0.812,4.33,3.63,20.25,95.68,92.66,22.82,9.23,32.06,430.83,0.53,49.97,24.23,7.55,96.08,99.35,25.39
2010,25,2506400,Gurinhém,0.556,0.435,0.544,0.728,11.67,6.74,37.77,97.23,85.21,16.15,8.36,51.77,235.88,0.45,67.91,40.47,17.95,60.0,98.82,35.34
2010,25,2506509,Gurjão,0.625,0.581,0.576,0.729,3.77,3.09,21.02,98.37,94.84,23.51,10.12,33.97,288.53,0.45,60.59,32.13,12.52,71.02,98.28,24.91
2010,25,2506608,Ibiara,0.586,0.479,0.548,0.768,10.36,6.15,37.98,96.1,86.28,18.29,9.26,46.69,242.08,0.53,68.88,43.87,28.77,74.06,98.76,28.21
2010,25,2506707,Imaculada,0.557,0.461,0.524,0.715,8.43,5.23,30.75,97.87,72.51,6.12,8.98,48.34,208.83,0.52,72.06,47.71,29.28,59.39,99.1,38.86
2010,25,2506806,Ingá,0.592,0.471,0.573,0.768,11.4,7.64,36.42,97.68,84.24,14.44,9.27,48.76,282.85,0.49,64.3,34.75,16.78,70.11,99.25,30.85
2010,25,2506905,Itabaiana,0.613,0.536,0.592,0.727,7.23,6.55,27.46,96.7,88.6,20.48,9.15,37.4,319.34,0.5,60.18,34.43,11.37,76.26,99.33,26.84
2010,25,2507002,Itaporanga,0.615,0.517,0.607,0.742,6.39,6.42,22.84,96.96,83.53,23.22,9.37,40.98,349.02,0.5,54.66,30.81,13.94,81.46,99.96,29.69
2010,25,2507101,Itapororoca,0.564,0.437,0.543,0.757,9.09,6.62,33.62,97.12,89.82,16.05,9.04,50.29,235.44,0.48,69.79,42.48,21.85,76.25,99.27,30.91
